CustomerID,Lookalike_CustomerID,Similarity_Score
C0001,C0174,0.9999921770580852
C0001,C0106,0.999917705239091
C0001,C0088,0.9999137305985113
C0002,C0029,0.9999733144032692
C0002,C0025,0.9999675413189528
C0002,C0121,0.999966419676878
C0003,C0052,0.9998547292935293
C0003,C0177,0.9997344062286414
C0003,C0031,0.9997038496312122
C0004,C0104,0.9999742703349469
C0004,C0173,0.9999349763765546
C0004,C0165,0.9999002282288509
C0005,C0159,0.9999953530857455
C0005,C0176,0.9999877419894636
C0005,C0073,0.9999786670595489
C0006,C0177,0.9999909323803086
C0006,C0092,0.9999462260805514
C0006,C0026,0.999888242300177
C0007,C0197,0.9998796970912008
C0007,C0132,0.9998236252553689
C0007,C0061,0.9992351070355171
C0008,C0156,0.9997662025508302
C0008,C0075,0.9997490591180463
C0008,C0141,0.9997401120621966
C0009,C0077,0.9996580112132142
C0009,C0043,0.9994979997874285
C0009,C0071,0.9985071690967403
C0010,C0166,0.9999984069459105
C0010,C0094,0.999820053502193
C0010,C0192,0.9996228099620613
C0011,C0107,0.9999587544443148
C0011,C0164,0.9999352595370299
C0011,C0157,0.9999012439143243
C0012,C0124,0.9999953717564241
C0012,C0143,0.9999726161380998
C0012,C0013,0.9999595875679382
C0013,C0143,0.9999985787610803
C0013,C0087,0.9999982310530701
C0013,C0124,0.99998197842792
C0014,C0058,0.9922145566877647
C0014,C0130,0.9801662248542675
C0014,C0080,0.978406805381314
C0015,C0123,0.9990205948168217
C0015,C0140,0.9983628111913343
C0015,C0063,0.9954042011636168
C0016,C0170,0.9999993154021921
C0016,C0191,0.9999974101377125
C0016,C0183,0.9999901787545937
C0017,C0101,0.9999996639659762
C0017,C0099,0.9997986129305688
C0017,C0024,0.9997984106357475
C0018,C0055,0.9999997087069517
C0018,C0048,0.9999841167853607
C0018,C0138,0.9999389972360743
C0019,C0118,0.999828520437915
C0019,C0160,0.9995095007835259
C0019,C0119,0.9992623813501341
C0020,C0151,0.9994891790634504
C0020,C0080,0.9975738135380673
C0020,C0110,0.9968985011379125
